media_item_id,ingest_timestamp,primary_title,secondary_title,artist_id,media_cover_url
559,2022-05-19 12:32:13.152465,Bad Bunny - Aguacero (360° Visualizer) | Un Verano Sin Ti,,,https://i.ytimg.com/vi/iBYndEtOVv4/default.jpg
586,2022-05-19 13:13:13.269236,Los Tigres Del Norte - La Carta,La Carta,172,https://i.ytimg.com/vi/JZ0pTYcliwE/default.jpg
614,2022-05-19 13:12:18.945562,OneRepublic - I Ain’t Worried (From “Top Gun: Maverick”) [Official Music Video],I Ain't Worried,,https://i.ytimg.com/vi/mNEUkkoUoIA/default.jpg
624,2022-05-19 13:13:15.750069,Last One Left,,,https://i.ytimg.com/vi/Ti75jRmfs74/default.jpg
642,2022-05-19 13:13:13.302552,Ya acabó (Con Becky G),,,https://i.ytimg.com/vi/DNJ09xZ1dA4/default.jpg
651,2022-05-19 13:23:22.302153,Thiago e Graciano - Mimimi Ft. Daniel Caon | DVD Onda De Amor,,,https://i.ytimg.com/vi/v0fYSCLZ394/default.jpg
665,2022-05-19 13:44:53.796756,Anne-Marie & James Arthur - Rewrite The Stars [from The Greatest Showman: Reimagined],,83,https://i.ytimg.com/vi/pRfmrE0ToTo/default.jpg
678,2022-05-19 13:13:13.345056,Kanye West - Life Of The Party,Life Of The Party,,https://i.ytimg.com/vi/401hZy6Hipw/default.jpg
705,2022-05-19 13:23:23.10874,Gusttavo Lima - O Ex da Sua Vida - Falando de Amor 2,,189,https://i.ytimg.com/vi/zyavwRbnOyQ/default.jpg
722,2022-05-19 12:32:11.952698,Eden Muñoz - Chale (Video Oficial),Chale,,https://i.ytimg.com/vi/OLmGL_SvP_M/default.jpg
724,2022-05-19 13:42:22.406457,BoyWithUke - Long Drives (Official Music Video),Long Drives,,https://i.ytimg.com/vi/FIILsSmS_nA/default.jpg
740,2022-05-19 13:44:52.467064,a-ha - Take On Me (Official Video) [Remastered in 4K],Take On Me,203,https://i.ytimg.com/vi/djV11Xbc914/default.jpg
757,2022-05-19 13:23:21.507648,Zé Neto e Cristiano - VOCÊ BEBERIA OU NÃO BEBERIA? - DVD Chaaama,Você Beberia Ou Não Beberia? (Live),198,https://i.ytimg.com/vi/pMaKEU1QzF4/default.jpg
761,2022-05-19 13:44:45.336834,"Still Woozy, Remi Wolf - Pool [Official Video]",,,https://i.ytimg.com/vi/9i2e3yVoS44/default.jpg
792,2022-05-19 12:32:11.404746,"Pushpa: Saami Saami - Full Video Song | Allu Arjun, Rashmika Mandanna | Sunidhi C | DSP | Sukumar",,,https://i.ytimg.com/vi/vdY5SFZBgnk/default.jpg
807,2022-05-19 13:42:22.564216,Fireboy DML & Ed Sheeran - Peru (Official Video),Peru,50,https://i.ytimg.com/vi/pekzpzNCNDQ/default.jpg
809,2022-05-19 13:42:22.849531,BoyWithUke - Toxic (Official Lyric Video),Toxic,,https://i.ytimg.com/vi/Mvaosumc4hU/default.jpg
831,2022-05-19 13:44:44.765538,Katy Perry - Firework (Official Music Video),Firework,211,https://i.ytimg.com/vi/QGJuMBdaqIw/default.jpg
882,2022-05-19 13:44:53.478287,"Ariana Grande - thank u, next (Official Video)","thank u, next",8,https://i.ytimg.com/vi/gl1aHhXnN1k/default.jpg
913,2022-05-19 12:19:21.819145,(OOAK) Russ Millions x Buni x YV - Reggae & Calypso [Music Video] | GRM Daily,Reggae & Calypso,180,https://i.ytimg.com/vi/JuWUTsIBx5Q/default.jpg
935,2022-05-19 13:44:52.031718,TRAINING TUNES - Patterns by Peach feat Young Boxers of Nigeria,,,https://i.ytimg.com/vi/-kIfyXCCIr8/default.jpg
954,2022-05-19 13:13:15.610978,"Bullet Song Lyrical (Telugu) | The Warriorr | Ram Pothineni, Krithi Shetty | Simbu | DSP | Lingusamy",Bullet Song,128,https://i.ytimg.com/vi/f0T6jFsWMak/hqdefault.jpg
974,2022-05-19 13:13:14.521979,"Bhool Bhulaiyaa 2 (Title Track) Kartik A, Kiara A, Tabu |Pritam, Tanishk, Neeraj, Anees B, Bhushan K",,,https://i.ytimg.com/vi/J1rOfVst-EQ/default.jpg
975,2022-05-19 13:13:13.284724,Hublot,,,https://i.ytimg.com/vi/eCZunqj2YBQ/default.jpg
976,2022-05-19 13:44:50.762132,Carly Rae Jepsen - Western Wind (Official Video),Western Wind,,https://i.ytimg.com/vi/gZiEvY6d8Y4/default.jpg
1011,2022-05-19 13:13:14.723376,En El Radio Un Cochinero,,,https://i.ytimg.com/vi/zB2y6MiLsAk/default.jpg
2,2022-05-19 13:13:15.466053,La ultima Vez,,,https://i.ytimg.com/vi/l43npzKOh5k/default.jpg
28,2022-05-19 13:44:52.084027,TRAINING TUNES - RUN by Dani Sylvia feat Jade Clarke,,,https://i.ytimg.com/vi/xRpOfN79ksk/default.jpg
39,2022-05-19 13:42:23.028398,Jason Derulo - Acapulco [Official Music Video],Acapulco,93,https://i.ytimg.com/vi/dx3wZfHF4c4/default.jpg
60,2022-05-19 13:44:51.658197,TRAINING TUNES - Chasing Shadows by Nate Kohrs x HuneyBear feat NONG ROSE,,,https://i.ytimg.com/vi/OsELpXdMdQo/default.jpg
63,2022-05-19 13:44:53.38758,Justin Bieber - Love Yourself (Official Music Video),Love Yourself,184,https://i.ytimg.com/vi/oyEuk8j8imI/default.jpg
71,2022-05-19 13:12:19.247481,Mt. Joy - Evergreen,,,https://i.ytimg.com/vi/VKSFtcpfRnQ/default.jpg
88,2022-05-19 12:32:13.396086,Bad Bunny (ft. The Marias) - Otro Atardecer (360° Visualizer) | Un Verano Sin Ti,,,https://i.ytimg.com/vi/VBiNZcH27Y8/default.jpg
101,2022-05-19 13:44:45.431701,"Said The Sky, ILLENIUM & Chelsea Cutler - Walk Me Home",Walk Me Home,231,https://i.ytimg.com/vi/02IboPNPog8/default.jpg
129,2022-05-19 13:13:15.131475,Cooped Up,,,https://i.ytimg.com/vi/DCMlgx-1Bkg/default.jpg
145,2022-05-19 13:44:51.391608,Vicetone - Tonight We Dance (Official Video),Tonight We Dance,,https://i.ytimg.com/vi/12f9xunqYNM/default.jpg
191,2022-05-19 13:42:24.159017,Riton x Nightcrawlers - Friday ft. Mufasa & Hypeman (Dopamine Re-edit) [Official Video],Friday (Dopamine Re-Edit) (feat. Mufasa & Hypeman),104,https://i.ytimg.com/vi/U6n2NcJ7rLc/default.jpg
199,2022-05-19 13:23:23.568622,Tierry - Chovendo na Minha Bochecha part. Jorge (DVD / O Pai das Crianças),Chovendo Na Minha Bochecha (Ao Vivo),24,https://i.ytimg.com/vi/Sb9-XwwJYIw/default.jpg
212,2022-05-19 12:31:22.033896,Vina Love - Options (Official Video),,,https://i.ytimg.com/vi/Je-Kn3it25g/default.jpg
228,2022-05-19 13:13:14.281452,Baby Money - FREESTYLE (Official Music Video),,,https://i.ytimg.com/vi/sqMoKsoFlJw/default.jpg
