"cm_track","track","isrc","cm_artist","artist"
13072467,"Love Me Again - Gemini Remix","GBUM71302815",4270,"John Newman"
24948645,"Truth Hurts (DaBaby Remix)","USAT21904788",210712,"Lizzo"
13945614,"Know No Better - SUPER CRUEL Remix","QMUY41700182",3440,"Major Lazer"
73506997,"Why I Love You","GBKPL2175505",3644040,"grentperez"
15698497,"Run To Me / World - Live","USRH10722679",251,"Bee Gees"
19336454,"Someone's Lady","USUM71806885",3746,"Jessie J"
28180350,"she","USAT21906617",4333,"Hayley Kiyoko"
81760214,"LA","QZEQU2208395",4200395,"UglyFace"
12368199,"[Premade Sandwiches]","GB2DY1600051",3656,"Glass Animals"
68462928,"Winter Wonderland / Don’t Worry Be Happy","ZA56E2102284",3578130,"Omah Lay"
35992638,"slower - NOTD Remix","USRC12100970",550577,"Tate McRae"
15049393,"God Is A DJ","USAR10301109",672,"P!nk"
24878701,"I Wish - Robotaki Remix","USAT21904528",4333,"Hayley Kiyoko"
15810954,"All I Ever Wanted","USSM17900369",2028,"Santana"
13396301,"Converse High","KRA381600803",206557,"BTS"
30555125,"Me Love - Kookie Remix","USSM10705613",2912,"Sean Kingston"
15090597,"Marvin Gaye - Boehm Remix","USAT21502941",4752,"Charlie Puth"
50664253,"Girl From Rio - Snakehips Remix","USWB12101580",4520,"Anitta"
15077396,"You're Beautiful - Acoustic","USAT20502540",2157,"James Blunt"
15943112,"Utha Side","USUR10000189",526,"Nelly"
81913189,"Promo","QZEQU2208394",4200395,"UglyFace"
27651716,"Fine Line","USSM11912596",558681,"Harry Styles"
15049380,"God Is a DJ","USAR10301096",672,"P!nk"
24542585,"Rebolar - Brabo Remix","BRUM71800300",647232,"Luísa Sonza"
24952067,"Una Lágrima","USSD11900292",3928,"Farruko"
21964174,"Lost In Japan - Recorded at Spotify Studios NYC","USUM71819129",4934,"Shawn Mendes"
22554960,"Basic","GBUM71803974",538222,"Sigrid"
20012466,"Fernando","GBUM71801881",104,"Cher"
12570428,"Hello","GBBKS1500214",3079,"Adele"
26228257,"If We Can Get Through This We Can Get Through Anything","DEE861903415",4361,"James Arthur"
68279129,"Where Are You Now (Acoustic)","BEHP42100104",5058,"Lost Frequencies"
17698961,"I Miss You (feat. Julia Michaels) - Lazy Weekends Remix","GBAHS1701157",4135,"Clean Bandit"
21541731,"No More Diss Tracks","QZANL1774561",557257,"Dax"
12449357,"Afire Love","GBAHS1400100",3648,"Ed Sheeran"
79032722,"Pillow Talk","QZEQU2202934",4200395,"UglyFace"
20439280,"DNA (Pedal 2 LA Mix)","QM6MZ1886152",206557,"BTS"
12450701,"Body To Body, Heart To Heart","GBAHT0108638",104,"Cher"
15677653,"Locked Away Again (The Remix)","USRC11502670",3450,"R. City"
31383388,"Me Gusta (with Cardi B & Myke Towers)","USWB12000287",4520,"Anitta"
12495633,"She Wants To Dance With Me","GBARL9300137",1054,"Rick Astley"
19484522,"El Rey Pide","TCACD1518862",207633,"La Adictiva Banda San José de Mesillas"
18831958,"Get Away","GBARL1701371",4572,"George Ezra"
63325087,"God Control - Live at the Coliseu dos Recreios, Lisbon, Portugal, 1/12-23/2020","USRH12102736",27,"Madonna"
19174671,"High Five - Hazers Remix","GBUM71801669",538222,"Sigrid"
57523637,"Summer of Love (Shawn Mendes & Tainy)","USUM72114707",4934,"Shawn Mendes"
19874438,"Le Chat - Instrumental","ITN341600110",2081,"The Pussycat Dolls"
15799542,"Down","USSM11704732",4378,"Fifth Harmony"
15903100,"Baby - Feat. Nelly","USUM70604680",2143,"Pharrell Williams"
13080484,"Should've Been Me - Jack Wins Remix","GBUM71700251",2515,"Naughty Boy"
31867168,"The Christmas Song","USSM12005079",4913,"Meghan Trainor"
15925787,"I Lived","USUM71301307",2796,"OneRepublic"
15941254,"What Lovers Do (feat. SZA)","USUM71709292",1546,"Maroon 5"
28488545,"When It Comes To You","CH7812037671",1690956,"dezabel"
25147571,"Rebolar - Mister Jam & Paulo Jeveaux Remix","BRUM71800231",647232,"Luísa Sonza"
15256288,"A La Hora Que Yo Quiera","USE831502658",207633,"La Adictiva Banda San José de Mesillas"
17180426,"1-800-DATEME","QM42K1781831",745592,"mxmtoon"
